model_id,algorithm_id,mean_test_accuracy,mean_test_precision_micro,mean_test_precision_macro,mean_test_precision_weighted,mean_test_recall_micro,mean_test_recall_macro,mean_test_recall_weighted,mean_test_roc_auc_ovo_weighted,geometric_mean_score_micro,geometric_mean_score_macro,geometric_mean_score_weighted,matthews_corrcoef,f5_micro,f5_macro,f5_weighted,f1_micro,f1_macro,f1_weighted,f2_micro,f2_macro,f2_weighted,log_loss
2865,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9063575758,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.016766224
2866,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9063575758,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0167483045
2867,10,0.9026252983,0.9026252983,0.8209825996,0.8889068012,0.9026252983,0.5624424242,0.9026252983,0.9063575758,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.019400005
2868,10,0.9021479714,0.9021479714,0.8084607491,0.8862423909,0.9021479714,0.5621757576,0.9021479714,0.9063818182,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0193773946
2869,10,0.9021479714,0.9021479714,0.8084607491,0.8862423909,0.9021479714,0.5621757576,0.9021479714,0.9065454545,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0219956476
2870,10,0.9016706444,0.9016706444,0.7987165697,0.8841611894,0.9016706444,0.5619090909,0.9016706444,0.9065333333,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.0219685294
2871,10,0.9021479714,0.9021479714,0.8032853954,0.8851576773,0.9021479714,0.5621757576,0.9021479714,0.9070484848,0.9031026253,0.5526787879,0.4273838752,0.2675112509,0.9031026253,0.6353800102,0.8617419842,0.9031026253,0.5698495685,0.8689459942,0.9031026253,0.5541511091,0.8878589326,0.024554036
2872,10,0.9016706444,0.9016706444,0.798717057,0.8841620618,0.9016706444,0.5619090909,0.9016706444,0.9070606061,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0238144396
2873,10,0.9021479714,0.9021479714,0.8032853954,0.8851576773,0.9021479714,0.5621757576,0.9021479714,0.9070727273,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0266330707
2874,10,0.9011933174,0.9011933174,0.7909172147,0.8824890479,0.9011933174,0.5616424242,0.9011933174,0.906830303,0.9050119332,0.5697939394,0.4607537629,0.301812191,0.9050119332,0.6662456711,0.8701246123,0.9050119332,0.5963355961,0.8751889465,0.9050119332,0.5745298359,0.8914540861,0.0291683462
